filename,file_size_mb,width,height,depth,volume,diagonal_length,largest_dimension,smallest_dimension,center_x,center_y,center_z,min_x,min_y,min_z,max_x,max_y,max_z,mesh_count,total_vertices,total_triangles,units,scale_category,likely_units,error
SYSTEM COMPONENTS SIZED & PLACED__BATTERIES__8667K18_Flame-Retardant Garolite G-10-FR4 Sheet.glb,0.011,0.6096,0.0127,2.26059,0.017501245,2.341376,2.26059,0.0127,-4.727076,1.423094,0.0,-5.031876,1.416744,-1.130295,-4.422276,1.429444,1.130295,12,48,24,unknown,meter,meters,
SYSTEM COMPONENTS SIZED & PLACED__SMARTPLUG INLET SYSTEM__30amp inlet.glb,0.153,14.260535,3.312965,2.113043,99.829993873,14.792009,14.260535,2.113043,-0.326937,1.607483,0.642965,-7.457204,-0.049,-0.413557,6.80333,3.263965,1.699486,82,2072,2036,unknown,building,meters,
SUPERSTRUCTURE__ALUM.__RAILINGS & POSTS__SCH40 1_ nominal.glb,2.365,10.154016,1.93658,5.921542,116.441586482,11.912978,10.154016,1.93658,-5.545415,2.453318,0.0,-10.622423,1.485028,-2.960771,-0.468407,3.421608,2.960771,277,46134,63809,unknown,building,meters,
PROPULSION__steering matching as-built tunnels WRK HJN__ctr.glb,2.828,1.428327,0.551815,4.892376,3.856033735,5.126399,4.892376,0.551815,-9.945773,1.499263,0.0,-10.659936,1.223356,-2.446188,-9.231609,1.775171,2.446188,262,55270,81262,unknown,meter,meters,
"HULLS, INTERNALS, ETC.__internals__CABINETS__WM CABINET__wm cab surfs.glb",0.07,1.397,1.567108,0.40297,0.882202626,2.137714,1.567108,0.40297,-5.823877,1.623687,-1.592644,-6.522377,0.840133,-1.79413,-5.125377,2.407241,-1.391159,43,834,888,unknown,meter,meters,
SUPERSTRUCTURE__ALUM.__RAILINGS & POSTS__2_ SQ TUBE.glb,0.017,0.050799,0.0508,1.262074,0.003256924,1.264117,1.262074,0.050799,-8.959048,2.722088,2.297516,-8.984447,2.696688,1.666479,-8.933648,2.747488,2.928553,17,80,48,unknown,meter,meters,
"HULLS, INTERNALS, ETC.__internals__galley, workbench, shelving, etc.__CTR BEAM TABLE.glb",0.089,1.1176,0.762,1.8288,1.557427368,2.274683,1.8288,0.762,-8.266799,1.709953,-0.457164,-8.8256,1.328953,-1.371564,-7.707999,2.090953,0.457236,14,1862,1836,unknown,meter,meters,
OUTFITTING__helm seat.glb,0.091,0.911606,1.1811,1.12395,1.210154496,1.867963,1.1811,0.911606,-5.992152,1.979391,-0.779399,-6.447955,1.388841,-1.341374,-5.536349,2.569941,-0.217424,28,1438,2160,unknown,meter,meters,
OUTFITTING__radar & antenna.glb,0.276,0.509979,1.582421,0.509957,0.411536173,1.73902,1.582421,0.509957,-9.74942,4.958715,1.723669,-10.00441,4.167505,1.468691,-9.494431,5.749926,1.978648,11,5320,9108,unknown,meter,meters,
PROPULSION__steering matching as-built tunnels WRK HJN__tiller - stbd dummy shaft.glb,0.343,0.9271,0.507996,0.904233,0.425860783,1.391119,0.9271,0.507996,-9.069328,1.963984,0.809046,-9.532878,1.709986,0.356929,-8.605778,2.217983,1.261162,69,6344,8134,unknown,decimeter,meters,
SUPERSTRUCTURE__ALUM.__TOE-KICKS__TOE-KICK SURFS.glb,2.184,5.362326,0.508047,5.948267,16.204936305,8.02462,5.948267,0.508047,-3.152154,2.189072,0.0,-5.833317,1.935048,-2.974133,-0.470991,2.443095,2.974133,630,38410,43036,unknown,meter,meters,
SUPERSTRUCTURE__ALUM.__FASCIA__fascia flange brackets.glb,0.66,7.417284,0.287946,6.635122,14.171164578,9.956096,7.417284,0.287946,-8.04492,3.15395,-0.003722,-11.753562,3.009977,-3.321283,-4.336278,3.297923,3.313839,528,5690,5348,unknown,meter,meters,
SYSTEM COMPONENTS SIZED & PLACED__BATTERIES__access panel WRK__angle flanges (on panel).glb,0.03,0.52705,0.566482,0.0254,0.007583512,0.774163,0.566482,0.0254,-4.747552,1.74107,1.529997,-5.011077,1.457829,1.517297,-4.484027,2.024311,1.542697,32,144,80,unknown,decimeter,meters,
"HULLS, INTERNALS, ETC.__CUSTOM PORTLIGHTS__portlight surfs.glb",0.039,1.07246,0.372856,6.154039,2.460836413,6.257906,6.154039,0.372856,-6.615886,2.13826,0.0,-7.152116,1.951832,-3.07702,-6.079656,2.324688,3.07702,6,754,888,unknown,meter,meters,
SUPERSTRUCTURE__ALUM.__5_ flat bar base__baseplate surfs.glb,0.821,4.986807,0.840533,5.837775,24.469488302,7.723623,5.837775,0.840533,-7.391024,2.048082,0.0,-9.884428,1.627815,-2.918887,-4.897621,2.468349,2.918887,144,16091,18488,unknown,meter,meters,
OUTFITTING__fwd trampoline & beam ROUGH__tramp & beam 2.5D.glb,0.075,0.1524,0.0762,3.975927,0.046171975,3.979576,3.975927,0.0762,-0.496801,1.834982,0.0,-0.573001,1.796882,-1.987964,-0.420601,1.873082,1.987964,1,24,12,unknown,meter,meters,
SYSTEM COMPONENTS SIZED & PLACED__TANKS__hot water tank.glb,0.015,0.762,0.254,0.254,0.049161179,0.842423,0.762,0.254,-2.575852,0.438035,2.28556,-2.956852,0.311035,2.158561,-2.194852,0.565035,2.41256,1,338,332,unknown,decimeter,meters,
PROPULSION__KEEL COOLERS__KC surfs.glb,0.856,4.978985,0.232809,4.129865,4.787133795,6.473042,4.978985,0.232809,-6.417485,0.410533,0.0,-8.906978,0.294128,-2.064933,-3.927993,0.526937,2.064933,188,16654,16918,unknown,meter,meters,
SUPERSTRUCTURE__WIREWAYS__ww parts surfs__int-int penetrations GREEN.glb,0.099,0.04445,0.04445,0.82423,0.001628519,0.826624,0.82423,0.04445,-9.751352,3.246587,1.268664,-9.773577,3.224362,0.856549,-9.729127,3.268812,1.680779,12,2124,2112,unknown,decimeter,meters,
"HULLS, INTERNALS, ETC.__internals__4_ ID wireway tubes.glb",0.087,3.645539,0.1143,0.870681,0.362799899,3.749814,3.645539,0.1143,-5.938853,0.53975,2.286,-7.761622,0.4826,1.850659,-4.116083,0.5969,2.721341,24,1616,1568,unknown,meter,meters,
SYSTEM COMPONENTS SIZED & PLACED__TANKS__holding tank 25 gal TOD 85-1532WH.glb,0.062,0.94615,0.254,0.4445,0.106823164,1.075777,0.94615,0.254,-3.626777,0.419967,2.285975,-4.099852,0.292967,2.063725,-3.153702,0.546967,2.508225,5,1376,1340,unknown,decimeter,meters,
"HULLS, INTERNALS, ETC.__internals__soles & bhds.glb",0.864,7.6454,2.269693,6.346813,110.134433791,10.192433,7.6454,2.269693,-5.941352,1.299392,0.0,-9.764052,0.164545,-3.173407,-2.118652,2.434238,3.173407,391,13153,13135,unknown,meter,meters,
"HULLS, INTERNALS, ETC.__CTR BEAM FROM EXIST. PART MSMTS__ctr beam console bhd.glb",0.006,0.022225,0.795262,2.963512,0.052380071,3.068443,2.963512,0.022225,-4.41116,1.727295,-0.005227,-4.422272,1.329664,-1.486983,-4.400047,2.124926,1.476529,2,104,100,unknown,meter,meters,
SUPERSTRUCTURE__ALUM.__FASCIA__fascia 1_4_ bolts.glb,1.052,7.375489,0.288842,6.570523,13.997540989,9.881955,7.375489,0.288842,-8.055266,3.172448,-0.003722,-11.743011,3.028026,-3.288983,-4.367521,3.316869,3.281539,506,14628,16652,unknown,meter,meters,
"HULLS, INTERNALS, ETC.__CTR BEAM FROM EXIST. PART MSMTS__ctr beam inside surfaces.glb",0.331,6.61619,1.063827,3.093049,21.770373335,7.380559,6.61619,1.063827,-6.486894,1.735643,0.0,-9.79499,1.20373,-1.546525,-3.178799,2.267557,1.546525,93,5820,6754,unknown,meter,meters,
"HULLS, INTERNALS, ETC.__steering shelf concepts__P&S rudder shelf.glb",0.015,0.4318,0.0127,5.898115,0.032344332,5.913914,5.898115,0.0127,-10.57026,1.197957,-0.003728,-10.78616,1.191607,-2.952786,-10.35436,1.204307,2.945329,10,151,184,unknown,meter,meters,
"PROPULSION__rudder assembly__SS thrust bearing, polished top.glb",0.089,0.08763,0.023502,4.65963,0.0095966,4.660513,4.65963,0.023502,-10.518495,0.474177,0.0,-10.56231,0.462426,-2.329815,-10.47468,0.485928,2.329815,8,1960,1952,unknown,meter,meters,
PROPULSION__steering matching as-built tunnels WRK HJN__steering tunnels as-built.glb,0.177,0.271844,0.0889,3.570998,0.086300006,3.582433,3.570998,0.0889,-9.671476,1.383067,0.0,-9.807398,1.338617,-1.785499,-9.535554,1.427517,1.785499,68,2812,3160,unknown,meter,meters,
SYSTEM COMPONENTS SIZED & PLACED__SMARTPLUG INLET SYSTEM__Miniature Bayonet T3 1_4 Bulb & holder.glb,0.073,0.056483,0.017461,0.017461,1.7221e-05,0.061645,0.056483,0.017461,-7.423965,3.235948,1.362633,-7.452206,3.227218,1.353903,-7.395723,3.244679,1.371364,3,1426,2302,unknown,centimeter,meters,
SYSTEM COMPONENTS SIZED & PLACED__TANKS__port FW tank (35 gal) Todd MFG _85-1525WH.glb,0.062,0.92075,0.4064,0.3937,0.147319761,1.080713,0.92075,0.3937,-2.604427,0.627803,-2.286441,-3.064802,0.424603,-2.483291,-2.144052,0.831003,-2.089591,5,1376,1340,unknown,decimeter,meters,
SUPERSTRUCTURE__ALUM.__PLATING.glb,1.247,7.399001,1.967379,6.592948,95.97114403,10.103601,7.399001,1.967379,-8.054061,3.183815,-0.003722,-11.753562,2.200126,-3.300196,-4.354561,4.167505,3.292752,306,23058,25850,unknown,meter,meters,
"HULLS, INTERNALS, ETC.__CTR BEAM FROM EXIST. PART MSMTS__ctr beam outside surfaces.glb",0.251,6.719044,1.177492,3.135256,24.80495145,7.507455,6.719044,1.177492,-6.46177,1.703335,0.0,-9.821292,1.11459,-1.567628,-3.102247,2.292081,1.567628,48,4850,5550,unknown,meter,meters,
